DATA USCITA,TITOLO,GIORNI ALL'USCITA,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",REGIA,CAST,DISTRIBUZIONE,MYMONETRO,CONSIGLIATO,MYMOVIES.IT,CRITICA,PUBBLICO,TRAMA,URL
13 maggio 2026,TOP GUN,1,Avventura,USA,1986,110,Tony Scott,"Tom Cruise, Kelly McGillis, Val Kilmer, Meg Ryan",Eagle Pictures,"3,04",SI,"3,00","0,00","3,09",Il film cult che ha lanciato Tom Cruise nell'Olimpo hollywoodiano,https://www.mymovies.it/film/1986/topgun/
13 maggio 2026,YALLA PARKOUR,1,Documentario,"Svezia, Arabia Saudita",2024,89,Areeb Zuaiter,Areeb Zuaiter,Barz and hippo,"0,00",N.D.,"3,00","0,00","0,00",Il parkour tra le macerie di Gaza. Un documentario su una ferita ancora troppo invisibile,https://www.mymovies.it/film/2024/yalla-parkour/
14 maggio 2026,A PRANZO LA DOMENICA,2,Drammatico,Italia,2026,90,Mariella Sellitti,"Lorenza Indovina, Cesare Bocci, Fabrizia Sacchi, Toni Laudadio",ZTV Production,"0,00",N.D.,"2,50","0,00","0,00",Uno script credibile per un'opera prima dall'ottimo cast,https://www.mymovies.it/film/2026/a-pranzo-la-domenica/
14 maggio 2026,CON LA PIOGGIA DENTRO,2,Documentario,Italia,2026,N.D.,Matteo Berruto,N.D.,OpenDDB,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/con-la-pioggia-dentro/
14 maggio 2026,E I FIGLI DOPO DI LORO,2,Drammatico,Francia,2024,146,"Ludovic Boukherma, Zoran Boukherma","Paul Kircher, Angelina Woreth, Sayyid El Alami, Louis Memmi",Fandango,"2,70",SI,"2,50","2,90","0,00","I gemelli Boukherma approdano al realismo crudo, ma il film non trova la strada giusta",https://www.mymovies.it/film/2024/e-i-figli-dopo-di-loro/
14 maggio 2026,HOPPER - IL SEGRETO DELLA MARMOTTA,2,Animazione,"Belgio, USA, Francia",2025,88,Benjamin Mousquet,"Joe Ochman, Bernardo de Paula, Jordan Tartakow, Mimi Maynard",Notorious Pictures,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2025/hopper-il-segreto-della-marmotta/
14 maggio 2026,IL PRINCIPE DELLA FOLLIA,2,Thriller,Italia,2025,90,Dario D'Ambrosi,"Stefano Zazzera, Alessandro Haber, Andrea Roncato, Carla Chiarelli",Notorious Pictures,"0,00",N.D.,"2,50","0,00","0,00","Tra noir e grottesco, la storia di una famiglia segnata dalla malattia e dall'orrore a cui la società l'ha condannata",https://www.mymovies.it/film/2025/il-principe-della-follia/
14 maggio 2026,IN THE GREY,2,Azione,"Gran Bretagna, USA",2026,98,Guy Ritchie,"Eiza González, Jake Gyllenhaal, Henry Cavill, Rosamund Pike",01 Distribution,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/in-the-grey/
14 maggio 2026,IRON MAIDEN - BURNING AMBITION,2,Documentario,USA,2026,N.D.,Malcolm Venville,N.D.,Universal Pictures,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/iron-maiden-burning-ambition/
14 maggio 2026,LA FESTA È FINITA,2,Commedia,"Francia, Belgio",2025,96,Antony Cordier,"Laurent Lafitte, Laure Calamy, Élodie Bouchez, Ramzy Bedia",No.Mad Entertainment,"2,95",SI,"2,50","3,40","2,96",Dalla normalità alla follia. Una commedia con scene di lotta e di classe in chiave grottesca,https://www.mymovies.it/film/2025/la-festa-e-finita/
14 maggio 2026,LE TIGRI DI MOMPRACEM,2,Thriller,Spagna,2025,109,Alberto Rodríguez,"Antonio de la Torre, Bárbara Lennie, Joaquín Núñez, César Vicente",Movies Inspired,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2025/le-tigri-di-mompracem/
14 maggio 2026,MABOROSI - I BAGLIORI DELL'ANIMA,2,Drammatico,Giappone,1995,110,Kore'eda Hirokazu,"Makiko Esumi, Takashi Naitô, Tadanobu Asano, Gohki Kashiyama",Bim Distribuzione,"0,00",N.D.,"0,00","0,00","2,94",N.D.,https://www.mymovies.it/film/1995/maborosi/
14 maggio 2026,MANIPULATION,2,"Drammatico, Thriller",Italia,2026,128,David Balda,"Pawel Lawrynowicz, Féodor Atkine, Heino Ferch, James Faulkner",Mescalito Film,"0,00",N.D.,"0,00","0,00","0,00",Una potente élite europea manipola società e Chiesa,https://www.mymovies.it/film/2026/manipulation/
14 maggio 2026,MOTHER MARY,2,Drammatico,"Gran Bretagna, USA, Germania, Finlandia",2025,112,David Lowery,"Anne Hathaway, Michaela Coel, Hunter Schafer, Sian Clifford",I Wonder Pictures,"0,00",N.D.,"3,50","0,00","0,00",Un'opera libera che scruta il lato oscuro dell'animo umano. Con due attrici dal livello altissimo,https://www.mymovies.it/film/2025/mother-mary/
14 maggio 2026,OBSESSION,2,Horror,USA,2026,108,Curry Barker,"Michael Johnston (II), Inde Navarrette, Cooper Tomlinson, Megan Lawless",Universal Pictures,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/obsession/
14 maggio 2026,QUASI GRAZIA,2,Drammatico,Italia,2025,80,Peter Marcias,"Laura Morante, Irene Maiorino, Ivana Monti, Monica Demuru",Europictures,"0,00",N.D.,"2,50","0,00","0,00",Grazia Deledda raccontata in tre momenti della vita in un film che spinge sulle radici sarde della grande scrittrice,https://www.mymovies.it/film/2025/quasi-grazia/
14 maggio 2026,STELLA GEMELLA,2,Commedia,Italia,2025,109,Luca Lucini,"Martina Gatti, Matteo Olivetti, Margherita Buy, Laura Morante",Eagle Pictures,"2,42",NI,"2,50","2,33","0,00",Una parabola sulla necessità di accogliere la realtà così come viene. Divertente il binomio Morante-Buy,https://www.mymovies.it/film/2025/stella-gemella/
14 maggio 2026,THE LUNCH - A LETTER TO AMERICA,2,Documentario,"USA, Italia",2025,N.D.,Gianluca Vassallo,N.D.,Lo Scrittoio,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2025/the-lunch-a-letter-to-america/
14 maggio 2026,TRE CHILOMETRI ALLA FINE DEL MONDO,2,Drammatico,Romania,2024,105,Emanuel Parvu,"Bogdan Dumitrache, Ciprian Chiujdea, Laura Vasiliu, Valeriu Andriuta",Academy Two,"2,75",SI,"3,00","2,50","0,00",Un film che ci ricorda come nella civile Europa alcuni diritti vengano violati,https://www.mymovies.it/film/2024/3-chilometri-alla-fine-del-mondo/
18 maggio 2026,TOP GUN - MAVERICK,6,Azione,USA,2022,131,Joseph Kosinski,"Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm",Eagle Pictures,"3,67",SI,"4,00","3,32","3,69",Un sequel in piena salute e in pieno mito. Che fa volare altissimo lo spettatore,https://www.mymovies.it/film/2022/top-gun-maverick/
19 maggio 2026,LA VALLE SCALZA,7,Documentario,Italia,2026,N.D.,"Carlo Prevosti, Alberto Maroni Biroldi",Gianfranco Bonaldo,Lab 80 Film,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/la-valle-scalza/
19 maggio 2026,RYUICHI SAKAMOTO | OPUS,7,Documentario,Giappone,2023,103,Neo Sora,N.D.,Nexo Studios,"0,00",N.D.,"3,50","0,00","0,00",L'ultimo toccante concerto di Ryuichi Sakamoto,https://www.mymovies.it/film/2023/ryuichi-sakamoto-opus/
20 maggio 2026,STAR WARS - THE MANDALORIAN AND GROGU,8,"Azione, Avventura, Fantasy",USA,2026,N.D.,Jon Favreau,N.D.,Walt Disney,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/star-wars-the-mandalorian-and-grogu/
21 maggio 2026,ALDAIR - CUORE GIALLOROSSO,9,Documentario,Italia,2026,N.D.,Simone Godano,Claudio Amendola,Nexo Studios,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/aldair-cuore-giallorosso/
21 maggio 2026,AMARGA NAVIDAD,9,Drammatico,Spagna,2026,N.D.,Pedro Almodóvar,"Aitana Sánchez-Gijón, Milena Smit, Bárbara Lennie, Vicky Luengo",Warner Bros Italia,"0,00",N.D.,"0,00","0,00","0,00","Il ritorno di Almodóvar tra dolore, memoria e cinema",https://www.mymovies.it/film/2026/amarga-navidad/
21 maggio 2026,DON'T LET THE SUN,9,Drammatico,"Svizzera, Italia",2025,100,Jacqueline Zünd,"Levan Gelbakhiani, Karidja Touré, Agnese Claisse, Cecilia Bertozzi",Trent Film,"0,00",N.D.,"3,00","0,00","0,00",Un dramma distopico che crede nella restaurazione degli affetti. Anche quando tutto sembra perduto,https://www.mymovies.it/film/2025/dont-let-the-sun/
21 maggio 2026,IL PROTAGONISTA,9,Commedia,Italia,2025,95,Fabrizio Benvenuto,"Pierluigi Gigante, Alessio Lapice, Morena Gentile, Adriano Giannini",Emozioni,"0,00",N.D.,"0,00","0,00","0,00",Il mestiere dell'attore come metafora per riflettere sulla condizione umana,https://www.mymovies.it/film/2025/il-protagonista/
21 maggio 2026,IO NON TI LASCIO SOLO,9,Commedia,Italia,2026,N.D.,Fabrizio Cattani,"Mimmo Borrelli, Valentina Cervi, Giorgio Pasotti, Pino Torcasio",Filmclub Distribuzione,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/io-non-ti-lascio-solo/
21 maggio 2026,PASSENGER,9,Horror,USA,2026,94,André Øvredal,"Melissa Leo, Lou Llobell, Jacob Scipio, Devielle Johnson",Eagle Pictures,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/passenger/
21 maggio 2026,SPYNE,9,Thriller,Italia,2025,100,Anna Antonelli,"Ivan Franek, Stefano Cassetti, Alessandro Cremona, Ekaterini Kakouri",Creations Factory,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2025/spyne/
25 maggio 2026,KING MARRACASH,13,Documentario,Italia,2026,N.D.,Pippo Mezzapesa,N.D.,Adler Entertainment,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/king-marracash/
25 maggio 2026,LUCIO FONTANA - THE FINAL CUT,13,Documentario,Italia,2026,N.D.,Andrea Bettinetti,N.D.,Nexo Studios,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/lucio-fontana-the-final-cut/
25 maggio 2026,NOBODY KNOWS - COME SI DIVENTA ADULTI,13,Drammatico,Giappone,2004,141,Kore'eda Hirokazu,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu",Bim Distribuzione,"3,36",SI,"3,00","0,00","3,71",Quando la realta' supera abbondantemente (e amaramente) la fantasia,https://www.mymovies.it/film/2004/nobody-knows/
27 maggio 2026,BACKROOMS,15,Horror,USA,2026,90,Kane Parsons,"Avan Jogia, Finn Bennett, Lukita Maxwell, Renate Reinsve",I Wonder Pictures,"0,00",N.D.,"0,00","0,00","0,00",Il grande salto dall'Analog Horror al cinema d'autore dello youtuber prodigio Kane Parsons,https://www.mymovies.it/film/2026/backrooms/
