POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Star Wars - The Mandalorian and Grogu,1.321.097,1.684.831,Jon Favreau,Azione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/star-wars-the-mandalorian-and-grogu/
2,Michael,1.113.998,23.142.199,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
3,Il Diavolo veste Prada 2,872.621,30.708.797,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
4,Obsession,704.508,1.618.494,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
5,Amarga Navidad,377.917,377.917,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/amarga-navidad/
6,Passenger,203.385,203.385,André Øvredal,Horror,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/passenger/
7,Le città di pianura,101.801,2.296.939,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
8,Pecore sotto copertura,90.526,819.470,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
9,In the Grey,55.128,368.757,Guy Ritchie,Azione,"Gran Bretagna, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/in-the-grey/
10,Hopper - Il segreto della marmotta,41.648,186.432,Benjamin Mousquet,Animazione,"Belgio, USA, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hopper-il-segreto-della-marmotta/
11,Super Mario Galaxy - Il Film,28.979,14.381.931,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
12,Maborosi - I bagliori dell'anima,20.931,89.010,Kore'eda Hirokazu,Drammatico,Giappone,1995,In relazione incasso totale,https://www.mymovies.it/film/1995/maborosi/
13,Aldair - Cuore Giallorosso,20.229,29.748,Simone Godano,Documentario,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/aldair-cuore-giallorosso/
14,The Sea,19.123,240.594,Shai Carmeli-Pollak,Drammatico,Israele,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/the-sea/
15,Mortal Kombat II,16.474,763.625,Simon McQuoid,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/mortal-kombat-2/
16,Gioia mia,15.787,530.252,Margherita Spampinato,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/gioia-mia/
17,Antartica - Quasi una fiaba,14.878,139.891,Lucia Calamaro,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/antartica/
18,Illusione,9.830,276.472,Francesca Archibugi,Drammatico,"Italia, Belgio",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/illusione/
19,Yellow Letters,9.639,208.819,Ilker Çatak,Drammatico,"Germania, Turchia, Francia",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/yellow-letters/
20,Discover Rome,8.401,264.317,Paco Lanciano,Documentario,Italia,2019,In relazione incasso totale,https://www.mymovies.it/film/2019/discover-rome/
