TITOLO,PUNTEGGIO,CONSIGLIATO,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",TRAMA,REGIA,CAST,CINEMA,ORARIO
I FIGLI DELLA SCIMMIA,"4,00",ASSOLUTAMENTE SI,Drammatico,Italia,2026,110,Le difficoltà genitoriali legate al mondo della disabilità raccontate con delicatezza e profondità,Tommaso Landucci,"Riccardo Scamarcio, Fausto Russo Alesi, Andrea Aggio, Tancredi Naldini","CINEMA Cineland
CINEMA Eden
Eurcine Multisala
CINEMA Multisala Lux
Multisala Odeon
Nuovo Cinema Aquila
Quattro Fontane
CINEMA Savoy
CINEMA Troisi","16:00, 18:30
15:30, 18:30, 21:30
15:30, 17:45
16:00, 20:00
18:10
16:00
17:45, 22:00
16:00
VO: 13:00, 17:00"
L'ANNO NUOVO CHE NON ARRIVA,"3,99",ASSOLUTAMENTE SI,Drammatico,"Romania, Serbia",2024,138,Una tragicommedia traboccante d'ironia. E dallo spregiudicato coraggio civile,Bogdan Muresanu,"Adrian Vancica, Nicoleta Hâncu, Emilia Dobrin, Iulian Postelnicu",CINEMA Tiziano,"16:30, 20:30"
ODISSEA,"3,80",SI,"Avventura, Drammatico, Fantasy","USA, Gran Bretagna",2026,172,L'epica si fa cinema. Nolan rilegge l'Odissea e ci illumina con messaggi pacifisti e femministi,Christopher Nolan,"Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson","CINEMA Adriano
CINEMA Atlantic
CINEMA Barberini
Eurcine Multisala
CINEMA Madison
CINEMA Multisala Lux
CINEMA Savoy
The Space Moderno
The Space Parco de Medici
CINEMA Troisi
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est","15:00, 17:20, 20:40
18:20
VO: 16:30
21:15
17:00, 20:15
18:30
17:00, 20:30
14:15
14:10, 15:25, 17:30, 21:55
VO: 21:15, 00:30
11:40, 19:10
10:30, 21:10
12:20, 18:20"
AVENGERS: ENDGAME,"3,79",SI,"Azione, Fantastico",USA,2019,182,"Un film che chiude un cerchio, celebra i suoi protagonisti e regala uno spettacolo impressionante","Joe Russo, Anthony Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Barberini
CINEMA Broadway
CINEMA Cineland
CINEMA Doria
CINEMA FCE Majestic
CINEMA Jolly
CINEMA Multisala Lux
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:30, 17:20, 21:00
17:30, 20:50 | VO: 20:20
15:00, 17:30, 21:00
21:45 | VO: 14:45, 18:15, 21:30
14:45, 18:00, 21:10
17:00, 20:30
16:30, 20:30
20:15
17:30, 21:00
18:00, 21:30 | VO: 17:30, 21:00
17:00, 20:40
15:15, 17:10, 18:10, 21:10, 21:30, 22:20
14:05, 14:40, 16:30, 17:00, 17:05, 17:40, 18:05, 18:40, 19:05, 19:30, 20:05, 20:45, 21:00, 21:10, 21:20, 21:35, 22:05
16:30
10:30, 12:00, 12:50, 13:50, 14:20, 15:10, 16:00, 16:40, 17:40, 18:20, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:20, 22:50, 23:30 | VO: 10:15
10:15, 10:30, 12:50, 13:30, 15:10, 15:20, 16:40, 17:20, 18:40, 19:00, 19:30, 20:20, 20:30, 21:00, 21:30, 22:30, 22:50, 23:30 | VO: 11:10
10:30, 12:50, 13:50, 15:10, 16:40, 17:10, 17:40, 18:30, 19:30, 20:30, 21:00, 21:30, 22:00, 22:50, 23:30 | VO: 10:15
10:00, 10:30, 12:50, 14:00, 16:00, 16:40, 17:40, 20:00, 21:30, 23:40 | VO: 10:15"
COYOTE VS. ACME,"3,78",SI,"Animazione, Avventura, Commedia",USA,2026,103,"Un legal drama dell'assurdo, un'opera contro l'impunità delle grandi aziende",Dave Green,"John Cena, Lana Condor, Will Forte, P.J. Byrne","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
Palazzo San Lorenzo
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:40, 18:00, 20:30
16:45, 21:20
15:00, 17:10, 21:30
17:00
15:30, 17:30, 19:30, 21:30
16:00, 20:20
20:20
VO: 18:00
21:30
14:30
14:35, 18:25, 23:05
14:15, 18:40
13:50, 17:10
14:20
10:20"
TOY STORY 5,"3,78",SI,"Animazione, Avventura, Commedia","USA, Giappone",2026,102,"Il quinto capitolo rispetta i topos e i personaggi della saga, affrontando le più grandi paure dei bambini: l'abbandono e la solitudine","Andrew Stanton, McKenna Harris","Angelo Maggi, Massimo Dapporto, Ilaria Stagni, Katia Follesa",CINEMA Madison,15:15
SILENT FRIEND,"3,72",SI,Drammatico,"Germania, Francia, Ungheria",2025,145,Una sfida vinta: Enyedi affronta con originalità l'impresa di relazionare esseri umani con il mondo vegetale,Ildikó Enyedi,"Tony Chiu-Wai Leung, Luna Wedler, Enzo Brumm, Léa Seydoux",CINEMA Farnese,VO: 20:45
SANTIAGO - UN CAMMINO PER RICOMINCIARE,"3,66",SI,"Drammatico, Commedia",Francia,2026,102,Il racconto di un viaggio interiore. Da una prospettiva laica e con due ottimi attori,Yann Samuell,"Alexandra Lamy, Julien Le Berre, Maëlle Vidou, Eric Métayer","Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Mignon","15:40
VO: 15:30, 19:30, 21:15
16:15, 18:30, 20:45"
UN ANNO DI SCUOLA,"3,65",SI,Drammatico,"Italia, Francia",2025,102,Da tempo non si vedeva un'adolescenza raccontata in questo modo. Un film pieno di consapevolezza e libertà,Laura Samani,"Stella Wendick, Giacomo Covi, Pietro Giustolisi, Samuel Volturno","Arena Nuovo Teatro Ateneo
Nuovo Teatro Ateneo","20:30
20:30"
MARTY SUPREME,"3,56",SI,"Biografico, Drammatico, Sportivo",USA,2025,149,Chalamet gioca (letteralmente) il ruolo della vita in un'opera formalmente e tematicamente esaltante,Josh Safdie,"Timothée Chalamet, Gwyneth Paltrow, Odessa A'zion, Kevin O'Leary","CINEMA Arena Tiziano
CINEMA Tiziano","21:00
21:00"
TONY - DIARIO DI UN GIOVANE CUOCO,"3,49",SI,"Biografico, Commedia, Drammatico",USA,2026,106,Un coming of age ironico e anticonvenzionale. Un'ode stravagante a tutte le persone fuori dal comune,Matt Johnson,"Dominic Sessa, Antonio Banderas, Leo Woodall, Emilia Jones",Teatro Don Bosco,20:30
"CAMP MIASMA - ADOLESCENZA, SESSO E MORTE","3,45",SI,Horror,"USA, Gran Bretagna, Canada",2026,106,Una rilettura in chiave gender dell'horror degli anni '80 e '90. Con un attualissimo sguardo sulla contemporaneità,Jane Schoenbrun,"Gillian Anderson, Hannah Einbinder, Patrick Fischler, Jack Haven",Nuovo Cinema Aquila,VO: 18:30
PALESTINA 36 - QUANDO TUTTO EBBE INIZIO,"3,43",SI,"Drammatico, Guerra, Storico","Regno Unito, Qatar",2025,119,"Un'opera - a tratti brutale - sulla rivolta araba del '36. Un film di ampio respiro, dalla natura corale e capace di abbracciare molti punti di vista","Drammatico, Guerra, Storico, Regno Unito, Qatar, 2025",N.D.,"CINEMA Alhambra
CINEMA Giulio Cesare
CINEMA Greenwich
Nuovo Cinema Aquila","18:40, 20:45
16:30
16:15
16:00 | VO: 21:00"
SPIDER-MAN - BRAND NEW DAY,"3,42",SI,"Azione, Avventura, Fantasy",USA,2026,145,"Cinema di formazione, iperbolico nella forma ma umano nella sostanza",Destin Daniel Cretton,"Tom Holland, Zendaya, Sadie Sink, Jacob Batalon","CINEMA Adriano
The Space Parco de Medici
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est","18:30, 21:30
14:10, 16:35
22:40
10:20"
THE INVITE - IL PIACERE È TUTTO NOSTRO,"3,42",SI,"Commedia, Drammatico",USA,2026,107,Una commedia romantica acida al punto giusto,Olivia Wilde,"Seth Rogen, Olivia Wilde, Penélope Cruz, Edward Norton","CINEMA Adriano
CINEMA Alhambra
CINEMA Andromeda
CINEMA Antares
CINEMA Atlantic
CINEMA Barberini
CINEMA Caravaggio
CINEMA Cineland
CINEMA Eden
Eurcine Multisala
CINEMA FCE Majestic
CINEMA Giulio Cesare
CINEMA Greenwich
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
CINEMA Savoy
The Screen Cinemas Roma Ottavia
The Space Parco de Medici
CINEMA Trianon
CINEMA Troisi
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est","15:20, 17:45, 20:20 | VO: 19:20
16:30, 20:30
16:45, 19:15
16:30, 18:45, 21:00
19:20, 21:30
16:30, 19:30 | VO: 15:00, 17:00, 19:00, 21:00
16:30, 18:30, 20:30
18:30, 20:45
15:00, 17:10, 19:20, 21:20
17:30, 19:20, 21:30
19:15 | VO: 15:30
VO: 15:30, 17:15, 19:30, 21:45
15:30, 18:45 | VO: 21:00
19:20, 21:30
17:30, 19:30, 21:30
16:00, 18:10, 20:20 | VO: 22:30
16:00, 18:10, 20:20, 22:30
16:30, 18:45, 21:15
19:25
14:20, 16:25, 19:15
16:30, 18:45, 21:15
VO: 11:00, 19:00
15:15
12:20
18:45"
MINIONS & MONSTERS,"3,41",SI,Animazione,USA,2026,90,Un'avventura godibile - e una bella lettera d'amore per il cinema - che mantiene viva la natura surreale dei piccoli protagonisti,"Pierre Coffin, Patrick Delage","Marcello Macchia, Pierre Coffin, Romesh Ranganathan, Zoey Deutch",CINEMA Madison,15:15
SHEEP IN THE BOX,"3,41",SI,Drammatico,Giappone,2026,126,L'intelligenza artificiale come strumento per lenire i nostri problemi. Un'opera sul nostro immediato futuro,Kore'eda Hirokazu,"Haruka Ayase, Daigo Yamamoto (II), Kuwaki Rimu, Nana Seino",CINEMA Madison,"17:00, 19:15, 21:30"
RITORNO A BUENOS AIRES,"3,36",SI,Drammatico,"Italia, Brasile",2026,104,"Un film di impegno civile, asciutto ed essenziale, come non eravamo più abituati a vedere nel nostro cinema","Drammatico, Italia, Brasile, 2026",N.D.,"CINEMA Cineland
CINEMA Giulio Cesare
CINEMA Greenwich
CINEMA Mignon
CINEMA Tibur","18:10
15:30, 17:30, 19:30, 21:30
15:30, 17:45, 19:15 | VO: 21:15
16:15, 18:30, 20:45
18:00, 21:45"
SERPENTI,"3,26",SI,Drammatico,Italia,2026,88,"Un'opera efficace che, nella cifra del grottesco, crea un ribaltamento. E va dritto al cuore delle cose",Roberto De Paolis,"Leonardo Lidi, Alessandro Borghi, Pietro Castellitto, Valeria Golino","CINEMA Eden
Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Greenwich
CINEMA Mignon
CINEMA Tibur","15:10, 17:10, 19:10, 21:10
17:30, 19:45, 21:45
15:30, 18:00, 19:45, 21:30
17:30, 19:45, 21:30
17:30, 19:30, 21:15
16:15, 20:00, 22:00"
