DATA USCITA,TITOLO,GIORNI ALL'USCITA,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",REGIA,CAST,DISTRIBUZIONE,MYMONETRO,CONSIGLIATO,MYMOVIES.IT,CRITICA,PUBBLICO,TRAMA,URL
27 aprile 2026,SUICIDE CLUB,4,Horror,Giappone,2001,99,Sion Sono,"Ryo Ishibashi, Masatoshi Nagase, Mai Hosho, Tamao Satô",Cat People,"0,00",N.D.,"0,00","0,00","3,17",Indagine su una serie ininterrotta di suicidi,https://www.mymovies.it/film/2001/suicideclub/
27 aprile 2026,THE WHISPERING STAR,4,Fantascienza,Giappone,2015,101,Sion Sono,"Kenji Endo, Yûto Ikeda, Megumi Kagurazaka, Mori Kouko",Cat People,"3,04",SI,"3,00","0,00","3,08",Un film delicatissimo che racconta attraverso gli occhi di un robot i sentimenti umani e il valore dei ricordi,https://www.mymovies.it/film/2015/thewhisperingstar/
27 aprile 2026,UN SACCO BELLO,4,Commedia,Italia,1980,99,Carlo Verdone,"Carlo Verdone, Mario Brega, Renato Scarpa, Veronica Miriel",Cineteca di Bologna,"3,33",SI,"3,00","0,00","3,65",Sei personaggi e un solo attore: Carlo Verdone. Un debutto straordinario,https://www.mymovies.it/film/1980/unsaccobello/
29 aprile 2026,IL DIAVOLO VESTE PRADA 2,6,"Commedia, Drammatico",USA,2026,119,David Frankel,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci",Walt Disney,"0,00",N.D.,"0,00","0,00","0,00",Il sequel del fenomeno del 2006 che ha segnato una generazione,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
29 aprile 2026,RITORNO AL TRATTURO,6,Documentario,Italia,2026,54,Francesco Cordio,"Elio Germano, Filippo Tantillo",Own Air,"0,00",N.D.,"3,00","0,00","0,00",Un doc frutto di forze diverse che punta i riflettori sui luoghi sperduti,https://www.mymovies.it/film/2026/ritorno-al-tratturo/
30 aprile 2026,KOKUHO - IL MAESTRO DI KABUKI,7,Drammatico,Giappone,2025,174,Sang-il Lee,"Keitatsu Koshiyama, Soya Kurokawa, Ai Mikami, Takahiro Miura",Tucker Film,"0,00",N.D.,"0,00","0,00","0,00",Il più grande maestro del kabuki,https://www.mymovies.it/film/2025/kokuho/
30 aprile 2026,L'ORATORE,7,Drammatico,Italia,2026,N.D.,Marco Pollini,"Mauro Cerminara, Giorgio Colangeli, Marcello Fonte, Pasquale Greco",Ahora! Film,"0,00",N.D.,"0,00","0,00","0,00",Storia di musica e coraggio nelle strade di Napoli,https://www.mymovies.it/film/2026/loratore/
30 aprile 2026,NEL TEPORE DEL BALLO,7,Drammatico,Italia,2026,100,Pupi Avati,"Raoul Bova, Isabella Ferrari, Antonella Salvucci, Patrizio Pelizzi",01 Distribution,"0,00",N.D.,"4,00","0,00","0,00","Attori che sanno osare in un film libero, dove Pupi Avati si rinnova rimanendo fedele a se stesso",https://www.mymovies.it/film/2026/nel-tepore-del-ballo/
30 aprile 2026,NINO,7,Drammatico,Francia,2025,96,Pauline Loquès,"Théodore Pellerin, Jeanne Balibar, William Lebghil, Salomé Dewaels",Filmclub Distribuzione,"3,75",SI,"4,00","3,50","0,00",Un esordio ricco di sfumature e di sottili trovate narrative. Una piccola opera che contiene moltitudini,https://www.mymovies.it/film/2025/nino/
30 aprile 2026,THAT TIME I GOT REINCARNATED AS A SLIME - IL FILM - LE LACRIME DEL MARE AZZURRO,7,"Animazione, Fantasy",Giappone,2026,N.D.,Yasuhito Kikuchi,"Rina Hidaka, Mao Ichimichi, Ayako Kawasumi, Ryûichi Kijima",Crunchyroll,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/that-time-i-got-reincarnated-as-a-slime-il-film-le-lacrime-del-mare-azzurro/
30 aprile 2026,YELLOW LETTERS,7,Drammatico,"Germania, Turchia, Francia",2026,N.D.,Ilker Çatak,"Tansu Biçer, Kerem Can, Aziz Çapkurt, Siir Eloglu",Lucky Red,"3,47",SI,"3,50","3,43","0,00","Catak si insinua nella coscienza dei suoi personaggi, rivelandone ambiguità morali e passi falsi comportamentali",https://www.mymovies.it/film/2026/yellow-letters/
4 maggio 2026,EYES WIDE SHUT,11,Drammatico,"Gran Bretagna, USA",1999,160,Stanley Kubrick,"Nicole Kidman, Tom Cruise, Madison Eginton, Jackie Sawiris",Lucky Red,"3,87",ASSOLUTAMENTE SI,"4,00","0,00","3,74","Beatificato a priori, questo film ha chiuso tre parabole: ricerca, carriera e vita",https://www.mymovies.it/film/1999/eyeswideshut/
4 maggio 2026,SPACE JAM,11,Commedia,USA,1996,87,Joe Pytka,"Theresa Randle, Michael Jordan, Wayne Knight, Manner Washington",Warner Bros Italia,"2,65",NI,"2,00","0,00","3,29",Un incontro di basket con personaggi animati e Michael Jordan,https://www.mymovies.it/film/1996/spacejam/
4 maggio 2026,WILLIE PEYOTE - ELEGIA SABAUDA,11,Documentario,Italia,2025,94,Enrico Bisi,N.D.,Wanted,"0,00",N.D.,"3,00","0,00","0,00","Un film sul mestiere di restare autentici: un elogio alla misura, all'intelligenza ironica, alla capacità di non prendersi troppo sul serio",https://www.mymovies.it/film/2025/willie-peyote-elegia-sabauda/
6 maggio 2026,L'AMORE STA BENE SU TUTTO,13,Commedia,Italia,2026,N.D.,Giampaolo Morelli,"Claudia Gerini, Monica Guerritore, Paolo Calabresi, Roberto Citran",PiperFilm,"0,00",N.D.,"0,00","0,00","0,00",Quando l'amore trasforma tutto,https://www.mymovies.it/film/2026/lamore-sta-bene-su-tutto/
6 maggio 2026,MORTAL KOMBAT II,13,"Azione, Avventura",USA,2026,N.D.,Simon McQuoid,"Hiroyuki Sanada, Karl Urban, Tadanobu Asano, Jessica McNamee",Warner Bros Italia,"0,00",N.D.,"0,00","0,00","0,00",Un'epica battaglia all'ultimo sangue,https://www.mymovies.it/film/2026/mortal-kombat-2/
6 maggio 2026,THE SEA,13,Drammatico,Israele,2025,93,Shai Carmeli-Pollak,"Khalifa Natour, Muhammad Gazawi, Marlene Bajali, Hilla Sarjon",Mescalito Film,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2025/the-sea/
7 maggio 2026,ANTARTICA - QUASI UNA FIABA,14,Drammatico,Italia,2026,N.D.,Lucia Calamaro,"Silvio Orlando, Barbara Ronchi, Valentina Bellè, Simone Liberati",Vision Distribution,"0,00",N.D.,"3,00","0,00","0,00","Un film più unico che raro in Italia sulla ricerca scientifica, con un ottimo cast",https://www.mymovies.it/film/2026/antartica/
7 maggio 2026,CLARA,14,Drammatico,Belgio,2026,94,Marta Bergman,"Salim Kechiouche, Zbeida Belhajamor, Lucie Debay, Michael Abiteboul",Cineclub Internazionale,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2026/clara/
7 maggio 2026,IL TEMPO È ANCORA NOSTRO,14,Drammatico,Italia,2024,N.D.,Maurizio Matteo Merli,"Mirko Frezza, Miguel Gobbo Diaz, Simone Sabani, Andrea Roncato",Father&Son,"0,00",N.D.,"0,00","0,00","0,00",N.D.,https://www.mymovies.it/film/2024/il-tempo-e-ancora-nostro/
